『走れメロス』太宰治,En_text,Happy,Angry,Surprise,Sad,Fear
"メロスは激怒した。
必ず、かの邪智暴虐の王を除かなければならぬと決意した。
メロスには政治がわからぬ。","Melos was furious.
He was determined that he must get rid of the evil, wicked, and tyrannical king.
Melos did not understand politics.",0.0,0.25,0.0,0.5,0.25
"メロスは、村の牧人である。
笛を吹き、羊と遊んで暮して来た。
けれども邪悪に対しては、人一倍に敏感であった。","Melos is the village herdsman.
He played the flute and played with the sheep.
But he was more sensitive to evil than most.",0.0,0.0,0.0,0.0,1.0
"きょう未明メロスは村を出発し、野を越え山越え、十里はなれた此のシラクスの市にやって来た。
メロスには父も、母も無い。
女房も無い。","At dawn today, Melos left his village, crossed fields and mountains, and came to the city of Syrax, ten miles away.
He has no father, no mother, no wife.
He has no wife.",0.0,0.67,0.0,0.0,0.33
"十六の、内気な妹と二人暮しだ。
この妹は、村の或る律気な一牧人を、近々、花婿として迎える事になっていた。
結婚式も間近かなのである。","She lives with her shy 16-year-old sister.
She is about to be married to a pastor in the village, who is very disciplined.
The wedding is coming soon.",0.0,0.0,1.0,0.0,0.0
"メロスは、それゆえ、花嫁の衣裳やら祝宴の御馳走やらを買いに、はるばる市にやって来たのだ。
先ず、その品々を買い集め、それから都の大路をぶらぶら歩いた。
メロスには竹馬の友があった。","Melos, therefore, came all the way to the market to buy bridal gowns and feasts.
First, he gathered up the goods, and then wandered the city's main streets.
Melos had a friend on stilts.",0.5,0.0,0.0,0.25,0.25
"セリヌンティウスである。
今は此のシラクスの市で、石工をしている。
その友を、これから訪ねてみるつもりなのだ。","He is Selinuntius.
He is a mason in the city of Syracuse.
I am going to visit him now.",0,0,0,0,0
"久しく逢わなかったのだから、訪ねて行くのが楽しみである。
歩いているうちにメロスは、まちの様子を怪しく思った。
ひっそりしている。","Since he had not seen her for a long time, he was looking forward to visiting her.
As he walked, Melos became suspicious of the town.
It was deserted.",0.0,0.0,0.0,0.33,0.67
"もう既に日も落ちて、まちの暗いのは当りまえだが、けれども、なんだか、夜のせいばかりでは無く、市全体が、やけに寂しい。
のんきなメロスも、だんだん不安になって来た。
路で逢った若い衆をつかまえて、何かあったのか、二年まえに此の市に来たときは、夜でも皆が歌をうたって、まちは賑やかであった筈だが、と質問した。","The sun had already set and the town was dark, but it was not only because of the night.
Even the carefree Meros began to feel uneasy.
He grabbed a young man he met on the street and asked him what was wrong.",0.14,0.0,0.0,0.43,0.43
"若い衆は、首を振って答えなかった。
しばらく歩いて老爺に逢い、こんどはもっと、語勢を強くして質問した。
老爺は答えなかった。","The young man shook his head and did not answer.
After walking for a while, he met the old man and asked him a question, this time in a more forceful tone.
The old man did not answer.",0.0,0.0,0.0,0.0,1.0
"メロスは両手で老爺のからだをゆすぶって質問を重ねた。
老爺は、あたりをはばかる低声で、わずか答えた。","Melos shook the old man's body with both hands and repeated the question.
The old man answered in a low, hushed voice.",0.0,0.0,0.0,0.5,0.5
「王様は、人を殺します。」,"The king kills people.""",0.0,0.0,1.0,0.0,0.0
「なぜ殺すのだ。」,"Why are you killing them?""",0.0,0.0,1.0,0.0,0.0
「悪心を抱いている、というのですが、誰もそんな、悪心を持っては居りませぬ。」,"You say you have a bad heart, but no one has such a bad heart.",0.0,0.0,0.0,1.0,0.0
「たくさんの人を殺したのか。」,"You killed a lot of people.""",0.0,0.0,0.5,0.5,0.0
「はい、はじめは王様の妹婿さまを。それから、御自身のお世嗣を。それから、妹さまを。それから、妹さまの御子さまを。それから、皇后さまを。それから、賢臣のアレキス様を。」,"Yes, at first the king's sister-in-law. Then his own heir. Then his sister. Then his sister's son. Then the Empress. Then his wise alexis.",0,0,0,0,0
「おどろいた。国王は乱心か。」,"""I was surprised. The king is disturbed.""",0.0,0.0,1.0,0.0,0.0
「いいえ、乱心ではございませぬ。人を、信ずる事が出来ぬ、というのです。このごろは、臣下の心をも、お疑いになり、少しく派手な暮しをしている者には、人質ひとりずつ差し出すことを命じて居ります。御命令を拒めば十字架にかけられて、殺されます。きょうは、六人殺されました。」,"No, I am not wild. It is that I cannot trust people. He has recently begun to doubt the hearts of His subjects, and has ordered them to offer up hostages one by one to those who are living a little extravagantly. Those who refuse His command will be crucified and killed. Today, six people were killed.",0.0,0.0,0.29,0.29,0.43
聞いて、メロスは激怒した。,"Upon hearing this, Melos was furious.",0.0,1.0,0.0,0.0,0.0
「呆れた王だ。生かして置けぬ。」,"He's a mad king. I will not let him live.""",0.0,1.0,0.0,0.0,0.0
"メロスは、単純な男であった。
買い物を、背負ったままで、のそのそ王城にはいって行った。
たちまち彼は、巡邏の警吏に捕縛された。","Melos was a simple man.
He slunk into the royal castle with his shopping on his back.
Immediately, he was captured by a patrolman.",0.33,0.0,0.0,0.0,0.67
"調べられて、メロスの懐中からは短剣が出て来たので、騒ぎが大きくなってしまった。
メロスは、王の前に引き出された。","When examined, a dagger was found in Melos' pocket, which caused a great commotion.
Melos was brought before the king.",0.33,0.33,0.0,0.33,0.0
「この短刀で何をするつもりであったか。言え！」,"'What did you intend to do with this dagger? Tell me!""",0.0,1.0,0.0,0.0,0.0
"暴君ディオニスは静かに、けれども威厳を以て問いつめた。
その王の顔は蒼白で、眉間の皺は、刻み込まれたように深かった。","The tyrant Dionysius asked quietly, but with dignity.
The king's face was pale and the wrinkles between his brows were as deep as if they had been etched in.",0.0,0.0,0.0,0.5,0.5
「市を暴君の手から救うのだ。」とメロスは悪びれずに答えた。,"Save the city from the tyrant's hand."" Melos replied without offence.",0,0,0,0,0
「おまえがか？」,"You?""",0,0,0,0,0
王は、憫笑した。,The king took pity on him.,0.0,0.0,0.0,1.0,0.0
「仕方の無いやつじゃ。おまえには、わしの孤独がわからぬ。」,"""You can't help it. You have no idea how lonely I am.",0.0,0.0,0.0,1.0,0.0
「言うな！」とメロスは、いきり立って反駁した。,"Don't say it!"" Melos rebutted, irascibly.",0,0,0,0,0
「人の心を疑うのは、最も恥ずべき悪徳だ。王は、民の忠誠をさえ疑って居られる。」,"It is the most shameful vice to doubt the hearts of men. The king doubts even the loyalty of his people.""",0.2,0.0,0.0,0.4,0.4
「疑うのが、正当の心構えなのだと、わしに教えてくれたのは、おまえたちだ。人の心は、あてにならない。人間は、もともと私慾のかたまりさ。信じては、ならぬ。」,It was you who taught me that doubt is a justifiable attitude. The human mind is unreliable. Man is by nature a selfish creature. Do not trust them.,0.0,0.0,0.17,0.17,0.67
暴君は落着いて呟き、ほっと溜息をついた。,The tyrant mumbled calmly and sighed with relief.,0.0,0.0,0.0,0.5,0.5
「わしだって、平和を望んでいるのだが。」,"I, too, want peace.",0,0,0,0,0
「なんの為の平和だ。自分の地位を守る為か。」,What is peace for? To protect your position?,1.0,0.0,0.0,0.0,0.0
こんどはメロスが嘲笑した。,"This time, Melos sneered.",0,0,0,0,0
「罪の無い人を殺して、何が平和だ。」,"What is peace when you kill innocent people?""",0.0,0.0,0.5,0.5,0.0
「だまれ、下賤の者。」,"Shut up, lowly man.""",0.0,0.5,0.0,0.5,0.0
王は、さっと顔を挙げて報いた。,The king quickly looked up and rewarded him.,0.0,0.0,0.0,1.0,0.0
「口では、どんな清らかな事でも言える。わしには、人の腹綿の奥底が見え透いてならぬ。おまえだって、いまに、磔になってから、泣いて詫びたって聞かぬぞ。」,"With the mouth, you can say the purest things, but I cannot see into the depths of a person's gut. But I can't see through the cottony belly of a man. You, too, will not hear me crying and apologizing after the crucifixion.",0.0,0.0,0.2,0.6,0.2
"「ああ、王は悧巧だ。
自惚れているがよい。
私は、ちゃんと死ぬる覚悟で居るのに。
命乞いなど決してしない。","Oh, the king is wise.
""Oh, the king is wise.
I am prepared to die.
I never beg for my life.",0.0,0.0,0.0,0.5,0.5
ただ、――」と言いかけて、メロスは足もとに視線を落し瞬時ためらい、「ただ、私に情をかけたいつもりなら、処刑までに三日間の日限を与えて下さい。,"But--"" and then, dropping his gaze to his feet, he hesitated for a moment before saying, ""But if you want to be merciful to me, please give me three days before the execution.",0.2,0.0,0.2,0.0,0.6
"たった一人の妹に、亭主を持たせてやりたいのです。
三日のうちに、私は村で結婚式を挙げさせ、必ず、ここへ帰って来ます。
」","I want my only sister to have a husband.
In three days I will have a wedding in the village, and I will come back here.
I will come back here.",1.0,0.0,0.0,0.0,0.0
「ばかな。」と暴君は、嗄れた声で低く笑った。,"Ridiculous."" And the tyrant laughed low in a hoarse voice.",0.0,0.0,0.0,0.5,0.5
「とんでもない嘘を言うわい。逃がした小鳥が帰って来るというのか。」,"I am not going to tell you a lie,"" he said. You think the little bird you let loose will come back?""",0.0,1.0,0.0,0.0,0.0
「そうです。帰って来るのです。」,"Yes,"" he said. You are coming home.""",0.0,0.0,0.5,0.5,0.0
メロスは必死で言い張った。,Melos insisted desperately.,0.0,0.0,0.0,0.0,1.0
「私は約束を守ります。私を、三日間だけ許して下さい。妹が、私の帰りを待っているのだ。そんなに私を信じられないならば、よろしい、この市にセリヌンティウスという石工がいます。私の無二の友人だ。あれを、人質としてここに置いて行こう。私が逃げてしまって、三日目の日暮まで、ここに帰って来なかったら、あの友人を絞め殺して下さい。たのむ、そうして下さい。」,"I will keep my promise. Please forgive me for three days. My sister is waiting for my return. If you don't believe me so much, well, there is a stonemason in this city named Selinuntius. He is my one and only friend. Let us leave him here as a hostage. If I escape and do not return here until nightfall of the third day, strangle that friend. Please, do so.""",0.5,0.12,0.12,0.12,0.12
"それを聞いて王は、残虐な気持で、そっと北叟笑んだ。
生意気なことを言うわい。
どうせ帰って来ないにきまっている。","Hearing this, the king chuckled softly and northward with cruelty.
You talk nonsense,"" said the king.
He's not coming back anyway.",0.0,0.0,0.5,0.5,0.0
"この嘘つきに騙された振りして、放してやるのも面白い。
そうして身代りの男を、三日目に殺してやるのも気味がいい。
人は、これだから信じられぬと、わしは悲しい顔して、その身代りの男を磔刑に処してやるのだ。","It would be fun to pretend to be fooled by this liar and let him go.
It would also be a nice touch to kill the scapegoat on the third day.
I will crucify the scapegoat with a sad face, saying, ""This is why people can't be trusted.",0.43,0.0,0.14,0.29,0.14
世の中の、正直者とかいう奴輩にうんと見せつけてやりたいものさ。,I would like to show the honest people of the world how it's done.,0,0,0,0,0
「願いを、聞いた。その身代りを呼ぶがよい。三日目には日没までに帰って来い。おくれたら、その身代りを、きっと殺すぞ。ちょっとおくれて来るがいい。おまえの罪は、永遠にゆるしてやろうぞ。」,"I have heard your wish. Call his ransom. On the third day, come back before sunset. If you fail to do so, I will kill your scapegoat. Come a little late. Your sins will be forgiven forever.""",0.25,0.0,0.25,0.5,0.0
「なに、何をおっしゃる。」,What are you talking about?,0,0,0,0,0
「はは。いのちが大事だったら、おくれて来い。おまえの心は、わかっているぞ。」,"Ha-ha-ha. If you value your life, come to me. I know your heart.",0.0,0.0,0.0,0.5,0.5
"メロスは口惜しく、地団駄踏んだ。
ものも言いたくなくなった。
竹馬の友、セリヌンティウスは、深夜、王城に召された。","Melos was so disappointed that he got down on his hands and knees.
He did not want to say anything.
His friend on stilts, Selinuntius, was summoned to the royal castle at midnight.",0.25,0.25,0.25,0.25,0.0
"暴君ディオニスの面前で、佳き友と佳き友は、二年ぶりで相逢うた。
メロスは、友に一切の事情を語った。
セリヌンティウスは無言で首肯き、メロスをひしと抱きしめた。","In the presence of the tyrant Dionys, a good friend and a good friend met for the first time in two years.
Melos told his friend the whole story.
Selinuntius silently nodded his head and embraced Melos in a tight embrace.",0.43,0.0,0.0,0.43,0.14
"友と友の間は、それでよかった。
セリヌンティウスは、縄打たれた。
メロスは、すぐに出発した。","Between friends, that was fine.
Selinuntius was lassoed.
Melos departed immediately.",1.0,0.0,0.0,0.0,0.0
"初夏、満天の星である。
メロスはその夜、一睡もせず十里の路を急ぎに急いで、村へ到着したのは、翌る日の午前、陽は既に高く昇って、村人たちは野に出て仕事をはじめていた。
メロスの十六の妹も、きょうは兄の代りに羊群の番をしていた。","It was early summer and the sky was full of stars.
The next morning, the sun was already high in the sky, and the villagers were out in the fields, starting their work.
The sun was already high in the sky, and the villagers were already out in the fields, starting their work. Meros' sixteen-year-old sister was guarding the sheep herd in place of her brother today.",0.1,0.0,0.2,0.0,0.7
"よろめいて歩いて来る兄の、疲労｜困憊の姿を見つけて驚いた。
そうして、うるさく兄に質問を浴びせた。","He was surprised to find his brother staggering toward him, looking exhausted.
He then noisily asked his brother a question.",0.0,0.0,0.67,0.0,0.33
「なんでも無い。」,"It's nothing.""",0,0,0,0,0
メロスは無理に笑おうと努めた。,Melos tried to force a smile.,0.5,0.0,0.0,0.0,0.5
「市に用事を残して来た。またすぐ市に行かなければならぬ。あす、おまえの結婚式を挙げる。早いほうがよかろう。」,I left something to do in the city. I have to go back to the city soon. Tomorrow is your wedding day. The sooner the better.,1.0,0.0,0.0,0.0,0.0
妹は頬をあからめた。,My sister blushed her cheeks.,0,0,0,0,0
「うれしいか。綺麗な衣裳も買って来た。さあ、これから行って、村の人たちに知らせて来い。結婚式は、あすだと。」,"I bought some beautiful costumes. I bought you some beautiful clothes. Now go and tell the villagers that the wedding is tomorrow. The wedding is tomorrow.""",1.0,0.0,0.0,0.0,0.0
"メロスは、また、よろよろと歩き出し、家へ帰って神々の祭壇を飾り、祝宴の席を調え、間もなく床に倒れ伏し、呼吸もせぬくらいの深い眠りに落ちてしまった。
眼が覚めたのは夜だった。
メロスは起きてすぐ、花婿の家を訪れた。","Melos staggered out again, went home, decorated the altar of the gods, arranged a feast, and soon fell to the floor and fell into a sleep so deep that he could not breathe.
It was night when he awoke.
As soon as he woke up, Melos visited the house of the bridegroom.",0.0,0.29,0.43,0.14,0.14
"そうして、少し事情があるから、結婚式を明日にしてくれ、と頼んだ。
婿の牧人は驚き、それはいけない、こちらには未だ何の仕度も出来ていない、葡萄の季節まで待ってくれ、と答えた。
メロスは、待つことは出来ぬ、どうか明日にしてくれ給え、と更に押してたのんだ。","He then asked that the wedding be held tomorrow, because of a few circumstances.
The herdsman, surprised, replied that it was not possible, that he was not ready yet, and that he would have to wait until the grape season.
Melos pressed him further, saying that he could not wait, and that he would do it tomorrow.",0.17,0.17,0.33,0.0,0.33
"婿の牧人も頑強であった。
なかなか承諾してくれない。
夜明けまで議論をつづけて、やっと、どうにか婿をなだめ、すかして、説き伏せた。","His son-in-law, a pastor, was also stubborn.
He would not give his consent.
They continued to argue until dawn, and finally, they managed to calm him down, coax him out, and persuade him.",0.25,0.0,0.0,0.0,0.75
"結婚式は、真昼に行われた。
新郎新婦の、神々への宣誓が済んだころ、黒雲が空を覆い、ぽつりぽつり雨が降り出し、やがて車軸を流すような大雨となった。
祝宴に列席していた村人たちは、何か不吉なものを感じたが、それでも、めいめい気持を引きたて、狭い家の中で、むんむん蒸し暑いのも怺え、陽気に歌をうたい、手を拍った。","The wedding ceremony took place at midday.
After the bride and groom had sworn their vows to the gods, black clouds covered the sky and rain began to fall in drops.
The villagers who were present at the feast felt something ominous, but they still kept their spirits up and sang songs and clapped their hands merrily in their small houses, braving the sweltering heat.",0.09,0.09,0.09,0.45,0.27
"メロスも、満面に喜色を湛え、しばらくは、王とのあの約束をさえ忘れていた。
祝宴は、夜に入っていよいよ乱れ華やかになり、人々は、外の豪雨を全く気にしなくなった。
メロスは、一生このままここにいたい、と思った。","Melos, too, was so full of joy that for a while he even forgot about the promise he had made to the king.
The feast became more and more festive as the night went on, and the people stopped caring about the heavy rain outside.
Melos wished he could stay here for the rest of his life.",0.12,0.25,0.0,0.5,0.12
"この佳い人たちと生涯暮して行きたいと願ったが、いまは、自分のからだで、自分のものでは無い。
ままならぬ事である。
メロスは、わが身に鞭打ち、ついに出発を決意した。","I wished to live with these fine people for the rest of my life, but now it is my body and not theirs.
It was not to be.
Melos, beating himself up, finally made up his mind to leave.",0.17,0.0,0.33,0.17,0.33
"あすの日没までには、まだ十分の時が在る。
ちょっと一眠りして、それからすぐに出発しよう、と考えた。
その頃には、雨も小降りになっていよう。","There was still enough time before sunset tomorrow.
I thought I would take a short nap and then leave immediately.
By that time, the rain would have stopped.",0.0,0.5,0.0,0.0,0.5
"少しでも永くこの家に愚図愚図とどまっていたかった。
メロスほどの男にも、やはり未練の情というものは在る。
今宵呆然、歓喜に酔っているらしい花嫁に近寄り、","I wanted to stay in this house as long as possible.
Even a man of Meros's stature has feelings of unfulfilled love.
He approached his bride, who seemed to be drunk with joy tonight, and said to her",0.25,0.25,0.0,0.25,0.25
「おめでとう。私は疲れてしまったから、ちょっとご免こうむって眠りたい。眼が覚めたら、すぐに市に出かける。大切な用事があるのだ。私がいなくても、もうおまえには優しい亭主があるのだから、決して寂しい事は無い。おまえの兄の、一ばんきらいなものは、人を疑う事と、それから、嘘をつく事だ。おまえも、それは、知っているね。亭主との間に、どんな秘密でも作ってはならぬ。おまえに言いたいのは、それだけだ。おまえの兄は、たぶん偉い男なのだから、おまえもその誇りを持っていろ。」,"Congratulations. I'm tired, so I'm going to take my leave and go to sleep. As soon as I wake up, I'm going to the market. I have important things to do. You will never be lonely without me, because you already have a kind husband. The two things your brother hates the most is to doubt people and to lie. You know that, don't you? Do not keep any secrets from your husband. That's all I'm saying to you. Your brother is probably a great man, and you should be proud of him.""",0.29,0.0,0.36,0.14,0.21
"花嫁は、夢見心地で首肯いた。
メロスは、それから花婿の肩をたたいて、","The bride nodded her head dreamily.
Melos then patted the groom on the shoulder.",0.0,0.0,0.0,0.0,1.0
「仕度の無いのはお互さまさ。私の家にも、宝といっては、妹と羊だけだ。他には、何も無い。全部あげよう。もう一つ、メロスの弟になったことを誇ってくれ。」,"I'm the one who has nothing to prepare, and we're the one who has nothing to prepare. In my house, the only treasures I have are my sister and a sheep. I have nothing else. I will give you everything. One more thing: be proud that you are now the brother of Melos.""",0.33,0.0,0.33,0.0,0.33
"花婿は揉み手して、てれていた。
メロスは笑って村人たちにも会釈して、宴席から立ち去り、羊小屋にもぐり込んで、死んだように深く眠った。
眼が覚めたのは翌る日の薄明の頃である。","The bridegroom was rubbing his hands and teetering.
Melos laughed, bobbed to the villagers, walked away from the banquet, snuggled into the sheep pen, and slept deeply, as if dead.
He awoke in the twilight of the following day.",0.25,0.5,0.0,0.25,0.0
"メロスは跳ね起き、南無三、寝過したか、いや、まだまだ大丈夫、これからすぐに出発すれば、約束の刻限までには十分間に合う。
きょうは是非とも、あの王に、人の信実の存するところを見せてやろう。
そうして笑って磔の台に上ってやる。","Melos jumped up and said, ""Nanmusan, did I oversleep?
Let's show the king that we have faith in him today.
Then I will go up on the crucifixion stand with a smile on my face.",0.25,0.0,0.5,0.0,0.25
"メロスは、悠々と身仕度をはじめた。
雨も、いくぶん小降りになっている様子である。
身仕度は出来た。","Melos began to get ready at his leisure.
The rain seemed to be easing somewhat.
He was ready.",0.67,0.0,0.0,0.0,0.33
"さて、メロスは、ぶるんと両腕を大きく振って、雨中、矢の如く走り出た。
私は、今宵、殺される。
殺される為に走るのだ。","Well, Melos waved his arms in the air and ran out like an arrow in the rain.
I will be killed tonight.
I am running to be killed.",0.0,0.0,0.5,0.25,0.25
"身代りの友を救う為に走るのだ。
王の奸佞邪智を打ち破る為に走るのだ。
走らなければならぬ。","Run to save your ransomed friends.
We must run to defeat the wiles and wiles of the king.
We must run.",1.0,0.0,0.0,0.0,0.0
"そうして、私は殺される。
若い時から名誉を守れ。
さらば、ふるさと。","And so I am killed.
Guard your honor from your youth.
Farewell, hometown.",0.0,0.0,1.0,0.0,0.0
"若いメロスは、つらかった。
幾度か、立ちどまりそうになった。
えい、えいと大声挙げて自身を叱りながら走った。","Young Melos had a hard time.
He almost stopped several times.
He ran, shouting and scolding himself.",0.0,0.5,0.5,0.0,0.0
"村を出て、野を横切り、森をくぐり抜け、隣村に着いた頃には、雨も止み、日は高く昇って、そろそろ暑くなって来た。
メロスは額の汗をこぶしで払い、ここまで来れば大丈夫、もはや故郷への未練は無い。
妹たちは、きっと佳い夫婦になるだろう。","Leaving the village, crossing fields, passing through forests, and arriving at a neighboring village, the rain had stopped, the sun was high in the sky, and it was getting hot.
Melos brushed the sweat from his forehead with his fist.
His sisters would make a good couple.",0.0,0.25,0.12,0.25,0.38
"私には、いま、なんの気がかりも無い筈だ。
まっすぐに王城に行き着けば、それでよいのだ。
そんなに急ぐ必要も無い。","I should have no worries now.
As long as I can make it straight to the royal castle, that's all that matters.
There is no need to rush.",0.2,0.0,0.0,0.4,0.4
"ゆっくり歩こう、と持ちまえの呑気さを取り返し、好きな小歌をいい声で歌い出した。
ぶらぶら歩いて二里行き三里行き、そろそろ全里程の半ばに到達した頃、降って湧いた災難、メロスの足は、はたと、とまった。
見よ、前方の川を。","He regained his natural easygoing spirit and began to sing his favorite ditty in a good voice.
He strolled for two or three miles, and when he had almost reached the halfway point of his journey, a sudden calamity stopped him in his tracks.
Behold the river ahead.",0.14,0.0,0.29,0.29,0.29
"きのうの豪雨で山の水源地は氾濫し、濁流｜滔々と下流に集り、猛勢一挙に橋を破壊し、どうどうと響きをあげる激流が、木葉微塵に橋桁を跳ね飛ばしていた。
彼は茫然と、立ちすくんだ。
あちこちと眺めまわし、また、声を限りに呼びたててみたが、繋舟は残らず浪に浚われて影なく、渡守りの姿も見えない。","The torrent of rain yesterday had overflowed the mountain's water source, and the muddy waters were gathering downstream in torrents, destroying bridges at once, and sending them reverberating and bouncing off the bridge girders.
He stood still, stunned.
He looked around and tried calling out to the boat as loudly as he could, but all the boats were drowned by the waves and there was no sign of the ferryman.",0.0,0.0,0.18,0.18,0.64
